,constructorId,driverId,fastestLap,fastestLapSpeed,fastestLapTime,grid,laps,milliseconds,number,points,position,positionOrder,positionText,raceId,rank,resultId,statusId,time
23877,3,13,59,209.341,1:14.101,3,71,5443586,19,15,3,3,3,917,7,22502,1,+41.031
23878,9,20,59,209.939,1:13.890,15,71,5562733,15,5,4,4,4,16,2,7857,1,+19.652
23879,9,17,59,210.808,1:27.520,2,60,5460531,2,12,4,4,4,857,2,21163,1,+25.529
23880,15,16,59,211.284,1:13.709,16,70,0,99,0,13,13,13,907,14,22296,11,00:00:00
23881,9,817,59,211.701,1:14.159,6,68,5332269,3,12,4,4,4,995,5,23905,1,+20.892
23882,1,8,59,211.812,1:11.248,7,72,0,6,3,6,6,6,98,8,1680,11,00:00:00
23883,6,8,59,211.941,1:14.075,5,68,5338561,7,8,6,6,6,995,4,23907,1,+27.184
23884,1,4,59,212.062,1:13.150,4,71,5352289,1,6,3,3,3,52,6,723,1,+57.019
23885,9,32,59,212.15,1:18.516,14,65,0,15,0,13,13,13,58,15,865,11,00:00:00
23886,7,44,59,214.32,1:22.861,13,61,0,17,0,11,11,11,93,11,1585,11,00:00:00
23887,10,815,59,215.874,1:12.142,15,71,5303522,11,8,6,6,6,907,1,22289,1,+28.546
23888,4,4,59,217.499,1:21.650,6,62,5203324,8,5,4,4,4,93,3,1578,1,+23.654
23889,4,4,59,218.891,1:16.098,3,66,5264482,5,8,2,2,2,75,5,1220,1,+27.652
23890,6,22,59,219.66,1:14.963,7,66,5108100,2,0,12,12,12,101,12,1746,1,+1:13.252
23891,7,44,59,221.778,1:14.247,9,65,0,17,0,14,14,14,101,4,1748,11,00:00:00
23892,3,13,59,222.801,1:09.899,0,63,0,19,0,20,20,20,956,7,23112,23,00:00:00
23893,4,807,59,224.48,1:09.248,15,70,0,27,0,13,13,13,1018,16,24378,11,00:00:00
23894,5,848,59,225.463,1:08.946,18,70,0,23,0,15,15,15,1018,11,24380,11,00:00:00
23895,2,2,59,225.823,1:21.956,15,59,0,6,0,15,15,15,8,13,7708,11,00:00:00
23896,210,154,59,229.532,1:22.263,15,59,8417096,8,0,12,12,12,1039,13,24797,1,+42.036
23897,6,20,59,232.531,1:21.202,14,59,8405043,5,1,10,10,10,1039,8,24795,1,+29.983
23898,1,846,59,232.542,1:21.198,11,59,8393943,4,8,6,6,6,1039,7,24791,1,+18.883
23899,51,8,59,232.64,1:21.164,13,59,8404830,7,2,9,9,9,1039,6,24794,1,+29.770
23900,211,815,59,234.175,1:20.632,7,59,8390710,11,10,5,5,5,1039,5,24790,1,+15.650
23901,1,4,6,136.503,2:13.579,8,8,0,14,0,0,17,R,982,17,23658,130,00:00:00
23902,4,839,6,143.27,2:11.793,10,7,0,31,0,0,14,R,1039,15,24799,23,00:00:00
23903,3,849,6,143.736,2:11.365,19,6,0,6,0,0,15,R,1039,14,24800,4,00:00:00
23904,8,11,6,145.384,1:43.802,18,6,0,22,0,0,14,R,62,14,954,3,00:00:00
23905,207,828,6,145.415,1:48.459,19,8,0,9,0,0,22,R,910,22,22371,3,00:00:00
23906,166,10,6,151.669,2:00.412,21,9,0,24,0,0,24,R,854,24,21111,3,00:00:00
23907,6,844,6,151.775,1:19.151,15,16,0,16,0,0,20,R,1015,20,24325,4,00:00:00
23908,15,821,6,157.619,1:55.684,14,17,0,21,0,0,20,R,913,20,22436,10,00:00:00
23909,9,32,6,159.79,1:38.702,13,6,0,15,0,0,19,R,65,18,1025,20,00:00:00
23910,10,807,6,160.132,1:53.868,11,12,0,27,0,0,20,R,939,18,22795,4,00:00:00
23911,164,39,6,178.142,1:52.238,23,7,0,23,0,0,22,R,877,23,21661,4,00:00:00
23912,208,813,6,179.888,1:50.929,16,7,0,13,0,0,21,R,901,20,22172,5,00:00:00
23913,15,37,6,182.14,1:47.739,17,7,0,22,0,0,20,R,340,16,20414,39,00:00:00
23914,10,16,6,184.947,1:43.223,10,9,0,14,0,0,18,R,338,19,20364,5,00:00:00
23915,4,808,6,185.11,1:43.132,18,9,0,12,0,0,19,R,338,18,20365,20,00:00:00
23916,10,807,6,185.401,1:45.844,16,9,0,27,0,0,20,R,928,18,22595,6,00:00:00
23917,10,815,6,185.461,1:23.545,13,38,0,11,0,0,18,R,1007,19,24160,23,00:00:00
23918,10,839,6,187.517,1:22.629,11,69,0,31,0,11,11,11,1007,15,24153,12,00:00:00
23919,4,832,6,188.07,1:22.386,8,28,0,55,0,0,19,R,1007,12,24161,22,00:00:00
23920,1,5,6,188.888,1:28.719,18,7,0,2,0,0,16,R,5,16,7649,6,00:00:00
23921,8,19,6,192.922,1:26.864,21,8,0,19,0,0,18,R,21,20,84,21,00:00:00
23922,1,8,6,193.094,1:21.678,10,13,0,6,0,0,20,R,102,14,1774,10,00:00:00
23923,15,155,6,193.098,1:43.340,9,8,0,23,0,0,22,R,339,19,20392,5,00:00:00
23924,211,815,6,193.625,1:43.263,19,8,0,11,0,0,20,R,1047,19,24965,7,00:00:00
23925,6,20,6,194.262,1:42.165,2,7,0,5,0,0,20,R,1028,19,24585,22,00:00:00
23926,5,26,6,194.322,1:26.238,22,9,0,19,0,0,18,R,39,20,452,27,00:00:00
23927,7,15,6,194.647,1:26.094,6,8,0,12,0,0,20,R,39,19,454,32,00:00:00
23928,5,7,6,194.862,1:25.999,16,7,0,14,0,0,19,R,21,19,85,4,00:00:00
